# ref_phrases.txt — reference finder phrases for phrasefinder
# All languages flattened into one file.
# Format: label | phrase
# Lines starting with # are comments.


# ── ar ────────────────────────────────────────────────
book | كتاب بعنوان
book | autor książki
paper | artykuł zatytułowany
paper | artykuł o
paper | badanie zatytułowane
paper | badanie o
paper | nowe badanie
paper | opublikował artykuł zatytułowany
paper | w opublikowanym artykule
paper | badanie wykazało że
paper | na arxiv
movie | film zatytułowany
movie | film o nazwie
movie | film o
movie | dokument zatytułowany
movie | wyreżyserowany przez
movie | wydał film zatytułowany
tv | serial zatytułowany
tv | serial o nazwie
tv | program zatytułowany
tv | miniserial zatytułowany
song | piosenka zatytułowana
song | album zatytułowany
song | singiel zatytułowany
song | wydał album zatytułowany
song | wydał piosenkę zatytułowaną
podcast | podcast zatytułowany
podcast | podcast o
podcast | powiedział w podcaście
podcast | omówione w podcaście
map | mapa
map | mapa kraju
map | granica między
map | stolica

# ── pt ────────────────────────────────────────────────
book | um livro chamado
book | um livro intitulado
book | um livro de
book | um romance chamado
book | um romance intitulado
book | um romance de
book | uma biografia de
book | uma biografia intitulada
book | umas memórias intituladas
book | publicou um livro chamado
book | lançou um livro chamado
book | no seu livro chamado
book | o autor de
paper | um artigo chamado
paper | um artigo intitulado
paper | um artigo sobre
paper | um estudo chamado
paper | um estudo sobre
paper | um estudo recente
paper | um artigo de pesquisa intitulado
paper | publicou um artigo sobre
paper | num artigo publicado
paper | o estudo descobriu que
paper | no arxiv
paper | publicado no arxiv
paper | um preprint intitulado
movie | um filme chamado
movie | um filme intitulado
movie | um filme de
movie | um documentário chamado
movie | um documentário sobre
movie | dirigido por
movie | lançou um filme chamado
movie | um curta-metragem chamado
movie | um biopic sobre
tv | uma série chamada
tv | uma série intitulada
tv | uma série criada por
tv | um programa chamado
tv | uma minissérie chamada
tv | uma série de televisão chamada
song | uma música chamada
song | uma música intitulada
song | uma música de
song | um álbum chamado
song | um álbum intitulado
song | um álbum de
song | um single chamado
song | lançou um álbum chamado
song | lançou uma música chamada
podcast | um podcast chamado
podcast | um podcast sobre
podcast | um podcast apresentado por
podcast | disse no podcast
podcast | discutido no podcast
map | um mapa de
map | me mostre um mapa de
map | a geografia de
map | a fronteira entre
map | a capital de

# ── ru ────────────────────────────────────────────────
book | книга под названием
book | книга с названием
book | роман под названием
book | роман с названием
book | биография под названием
book | биография о
book | мемуары под названием
book | опубликовал книгу под названием
book | опубликовала книгу под названием
book | выпустил книгу под названием
book | в его книге под названием
book | в её книге под названием
book | автор книги
paper | статья под названием
paper | статья о
paper | исследование под названием
paper | исследование о
paper | новое исследование
paper | опубликовал статью под названием
paper | опубликовал исследование о
paper | в опубликованной статье
paper | исследование показало что
paper | статья утверждает что
paper | на arxiv
paper | опубликовано на arxiv
movie | фильм под названием
movie | фильм с названием
movie | документальный фильм под названием
movie | документальный фильм о
movie | режиссёр
movie | снял фильм под названием
movie | короткометражка под названием
tv | сериал под названием
tv | шоу под названием
tv | телесериал под названием
tv | созданный
song | песня под названием
song | альбом под названием
song | альбом с названием
song | сингл под названием
song | выпустил альбом под названием
song | выпустил песню под названием
podcast | подкаст под названием
podcast | подкаст о
podcast | сказал в подкасте
podcast | обсуждалось в подкасте
map | карта
map | карта страны
map | граница между
map | столица

# ── tr ────────────────────────────────────────────────
book | adlı bir kitap
book | adlı kitap
book | başlıklı bir kitap
book | adında bir kitap
book | adlı bir roman
book | adında bir roman
book | kitabının adı
book | kitap yayımladı adlı
book | kitabın yazarı
paper | adlı bir makale
book | adlı bir çalışma
paper | makale yayımladı
paper | çalışma şunu buldu
paper | araştırma gösteriyor ki
paper | arxiv üzerinde
paper | arxivde yayımlandı
movie | adlı bir film
movie | adında bir film
movie | adlı bir belgesel
movie | yönetmenliğini yaptığı
movie | başrolde
movie | film çekti adlı
tv | adlı bir dizi
tv | adında bir dizi
tv | adlı bir program
tv | tarafından yaratılan dizi
song | adlı bir şarkı
song | adlı bir albüm
song | adında bir albüm
song | albüm çıkardı adlı
song | şarkı çıkardı adlı
podcast | adlı bir podcast
podcast | podcast'te söyledi
podcast | tarafından sunulan podcast
map | harita
map | haritasını göster
map | sınır
map | başkent

# ── uk ────────────────────────────────────────────────
book | книга під назвою
book | роман під назвою
book | біографія під назвою
book | опублікував книгу під назвою
book | випустив книгу під назвою
book | в його книзі під назвою
paper | стаття під назвою
paper | дослідження під назвою
paper | нове дослідження
paper | опублікував статтю під назвою
paper | дослідження показало що
movie | фільм під назвою
movie | документальний фільм під назвою
movie | режисер
movie | зняв фільм під назвою
tv | серіал під назвою
tv | шоу під назвою
song | пісня під назвою
song | альбом під назвою
song | сингл під назвою
song | випустив альбом під назвою
podcast | подкаст під назвою
podcast | сказав у подкасті
map | кордон між
map | столиця

# ── zh ────────────────────────────────────────────────
book | 一本书叫做
book | 一本书叫
book | 一本书名叫
book | 一本书题为
book | 一本小说叫做
book | 一本小说名叫
book | 一本传记叫做
book | 一本回忆录叫做
book | 出版了一本书叫做
book | 写了一本书叫做
book | 这本书的作者
paper | 一篇论文叫做
paper | 一篇论文题为
paper | 一项研究表明
paper | 发表了一篇论文
paper | 研究发现
paper | 在arxiv上
paper | 发表在arxiv
movie | 一部电影叫做
movie | 一部电影叫
movie | 一部电影名叫
movie | 一部纪录片叫做
movie | 导演是
movie | 主演是
tv | 一部剧叫做
tv | 一部电视剧叫做
tv | 一档节目叫做
tv | 由制作
song | 一首歌叫做
song | 一首歌叫
song | 一张专辑叫做
song | 发行了一张专辑
song | 发行了一首歌
podcast | 一个播客叫做
podcast | 在播客里说
podcast | 主持的播客
map | 的地图
map | 显示地图
map | 之间的边界
map | 首都是
book | 一本書叫做
book | 一本書叫
book | 一本書名叫
book | 一本書題為
book | 一本小說叫做
book | 一本小說名叫
book | 一本傳記叫做
book | 出版了一本書叫做
book | 這本書的作者
paper | 一篇論文叫做
paper | 一篇論文題為
paper | 一項研究表明
paper | 發表了一篇論文
paper | 研究發現
movie | 一部電影叫做
movie | 一部電影名叫
movie | 一部紀錄片叫做
movie | 導演是
tv | 一部劇叫做
tv | 一部電視劇叫做
tv | 一檔節目叫做
song | 一張專輯叫做
song | 發行了一張專輯
song | 發行了一首歌
podcast | 一個播客叫做
podcast | 在播客裡說
map | 的地圖
map | 顯示地圖
map | 之間的邊界
